Step     0, Loss:  2.40, Accuracy:   7.03%, Time usage:  0m  2s .
Step   100, Loss:  0.59, Accuracy:  80.47%, Time usage:  0m  5s .
Step   200, Loss:  0.47, Accuracy:  83.59%, Time usage:  0m  8s .
Step   300, Loss:  0.39, Accuracy:  85.94%, Time usage:  0m 10s .
Step   400, Loss:  0.34, Accuracy:  88.28%, Time usage:  0m 13s .
Step   500, Loss:  0.32, Accuracy:  89.06%, Time usage:  0m 19s .
Step   600, Loss:  0.26, Accuracy:  91.41%, Time usage:  0m 21s .
Step   700, Loss:  0.37, Accuracy:  86.72%, Time usage:  0m 25s .
Step   800, Loss:  0.18, Accuracy:  92.97%, Time usage:  0m 27s .
Step   900, Loss:  0.29, Accuracy:  90.62%, Time usage:  0m 30s .
Step  1000, Loss:  0.24, Accuracy:  92.19%, Time usage:  0m 36s .
Step  1100, Loss:  0.21, Accuracy:  91.41%, Time usage:  0m 40s .
Step  1200, Loss:  0.23, Accuracy:  93.75%, Time usage:  0m 43s .
Step  1300, Loss:  0.21, Accuracy:  90.62%, Time usage:  0m 46s .
Step  1400, Loss:  0.16, Accuracy:  92.97%, Time usage:  0m 49s .
Step  1500, Loss:  0.19, Accuracy:  92.19%, Time usage:  0m 55s .
Step  1600, Loss:  0.26, Accuracy:  89.06%, Time usage:  0m 58s .
Step  1700, Loss:  0.24, Accuracy:  90.62%, Time usage:  1m  1s .
Step  1800, Loss:  0.34, Accuracy:  87.50%, Time usage:  1m  4s .
Step  1900, Loss:  0.11, Accuracy:  94.53%, Time usage:  1m 11s .
Step  2000, Loss:  0.16, Accuracy:  92.19%, Time usage:  1m 14s .
Step  2100, Loss:  0.16, Accuracy:  93.75%, Time usage:  1m 17s .
Step  2200, Loss:  0.19, Accuracy:  92.97%, Time usage:  1m 20s .
Step  2300, Loss:  0.34, Accuracy:  89.06%, Time usage:  1m 23s .
Step  2400, Loss:  0.15, Accuracy:  92.97%, Time usage:  1m 29s .
Step  2500, Loss:  0.27, Accuracy:  89.06%, Time usage:  1m 32s .
Step  2600, Loss:  0.18, Accuracy:  92.97%, Time usage:  1m 34s .
Step  2700, Loss:  0.14, Accuracy:  96.88%, Time usage:  1m 37s .
Step  2800, Loss:  0.19, Accuracy:  92.19%, Time usage:  1m 40s .
Step  2900, Loss:  0.14, Accuracy:  92.19%, Time usage:  1m 46s .
Step  3000, Loss:  0.19, Accuracy:  95.31%, Time usage:  1m 49s .
Step  3100, Loss:  0.19, Accuracy:  91.41%, Time usage:  1m 52s .
Step  3200, Loss:  0.21, Accuracy:  89.06%, Time usage:  1m 55s .
Step  3300, Loss:  0.17, Accuracy:  93.75%, Time usage:  2m  1s .
Step  3400, Loss:  0.16, Accuracy:  95.31%, Time usage:  2m  4s .
Step  3500, Loss:  0.08, Accuracy:  98.44%, Time usage:  2m  7s .
Step  3600, Loss:  0.15, Accuracy:  95.31%, Time usage:  2m 10s .
Step  3700, Loss:  0.11, Accuracy:  96.09%, Time usage:  2m 13s .
Step  3800, Loss:  0.10, Accuracy:  96.09%, Time usage:  2m 19s .
Step  3900, Loss:  0.15, Accuracy:  92.97%, Time usage:  2m 21s .
Step  4000, Loss:  0.19, Accuracy:  91.41%, Time usage:  2m 24s .
Step  4100, Loss:  0.28, Accuracy:  91.41%, Time usage:  2m 26s .
Step  4200, Loss:  0.10, Accuracy:  93.75%, Time usage:  2m 29s .
Step  4300, Loss:  0.05, Accuracy:  98.44%, Time usage:  2m 35s .
Step  4400, Loss:  0.11, Accuracy:  93.75%, Time usage:  2m 38s .
