Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  3s .
Step   100, Loss:  0.61, Accuracy:  81.25%, Time usage:  0m 38s .
Step   200, Loss:  0.60, Accuracy:  80.47%, Time usage:  1m 12s .
Step   300, Loss:  0.65, Accuracy:  74.22%, Time usage:  1m 46s .
Step   400, Loss:  0.54, Accuracy:  83.59%, Time usage:  2m 21s .
Step   500, Loss:  0.33, Accuracy:  87.50%, Time usage:  2m 59s .
Step   600, Loss:  0.39, Accuracy:  83.59%, Time usage:  3m 33s .
Step   700, Loss:  0.36, Accuracy:  87.50%, Time usage:  4m  7s .
Step   800, Loss:  0.38, Accuracy:  85.16%, Time usage:  4m 42s .
Step   900, Loss:  0.29, Accuracy:  88.28%, Time usage:  5m 16s .
Step  1000, Loss:  0.30, Accuracy:  89.84%, Time usage:  5m 54s .
Step  1100, Loss:  0.24, Accuracy:  92.97%, Time usage:  6m 28s .
Step  1200, Loss:  0.47, Accuracy:  82.81%, Time usage:  7m  3s .
Step  1300, Loss:  0.38, Accuracy:  87.50%, Time usage:  7m 37s .
Step  1400, Loss:  0.40, Accuracy:  85.16%, Time usage:  8m 11s .
Step  1500, Loss:  0.32, Accuracy:  88.28%, Time usage:  8m 49s .
Step  1600, Loss:  0.49, Accuracy:  83.59%, Time usage:  9m 23s .
Step  1700, Loss:  0.31, Accuracy:  91.41%, Time usage:  9m 57s .
Step  1800, Loss:  0.30, Accuracy:  86.72%, Time usage: 10m 32s .
Step  1900, Loss:  0.28, Accuracy:  92.97%, Time usage: 11m  9s .
Step  2000, Loss:  0.33, Accuracy:  87.50%, Time usage: 11m 44s .
Step  2100, Loss:  0.35, Accuracy:  86.72%, Time usage: 12m 18s .
Step  2200, Loss:  0.27, Accuracy:  89.84%, Time usage: 12m 52s .
Step  2300, Loss:  0.27, Accuracy:  89.06%, Time usage: 13m 26s .
Step  2400, Loss:  0.23, Accuracy:  92.97%, Time usage: 14m  4s .
Step  2500, Loss:  0.23, Accuracy:  90.62%, Time usage: 14m 38s .
Step  2600, Loss:  0.27, Accuracy:  91.41%, Time usage: 15m 12s .
Step  2700, Loss:  0.17, Accuracy:  93.75%, Time usage: 15m 47s .
Step  2800, Loss:  0.34, Accuracy:  85.94%, Time usage: 16m 21s .
Step  2900, Loss:  0.42, Accuracy:  87.50%, Time usage: 16m 59s .
Step  3000, Loss:  0.16, Accuracy:  95.31%, Time usage: 17m 33s .
Step  3100, Loss:  0.17, Accuracy:  96.09%, Time usage: 18m  8s .
Step  3200, Loss:  0.34, Accuracy:  86.72%, Time usage: 18m 42s .
Step  3300, Loss:  0.28, Accuracy:  90.62%, Time usage: 19m 20s .
Step  3400, Loss:  0.33, Accuracy:  85.94%, Time usage: 19m 54s .
Step  3500, Loss:  0.20, Accuracy:  92.97%, Time usage: 20m 30s .
Step  3600, Loss:  0.26, Accuracy:  91.41%, Time usage: 21m  5s .
Step  3700, Loss:  0.39, Accuracy:  84.38%, Time usage: 21m 40s .
Step  3800, Loss:  0.18, Accuracy:  92.97%, Time usage: 22m 18s .
Step  3900, Loss:  0.19, Accuracy:  92.19%, Time usage: 22m 53s .
Step  4000, Loss:  0.29, Accuracy:  92.19%, Time usage: 23m 28s .
Step  4100, Loss:  0.23, Accuracy:  93.75%, Time usage: 24m  2s .
Step  4200, Loss:  0.28, Accuracy:  87.50%, Time usage: 24m 36s .
Step  4300, Loss:  0.23, Accuracy:  90.62%, Time usage: 25m 14s .
Step  4400, Loss:  0.29, Accuracy:  89.84%, Time usage: 25m 49s .
Step  4500, Loss:  0.29, Accuracy:  89.06%, Time usage: 26m 24s .
Step  4600, Loss:  0.11, Accuracy:  96.88%, Time usage: 26m 59s .
Step  4700, Loss:  0.18, Accuracy:  92.97%, Time usage: 27m 38s .
Step  4800, Loss:  0.29, Accuracy:  89.06%, Time usage: 28m 12s .
Step  4900, Loss:  0.21, Accuracy:  91.41%, Time usage: 28m 46s .
Step  5000, Loss:  0.21, Accuracy:  92.19%, Time usage: 29m 20s .
Step  5100, Loss:  0.37, Accuracy:  85.16%, Time usage: 29m 55s .
Step  5200, Loss:  0.15, Accuracy:  94.53%, Time usage: 30m 32s .
Step  5300, Loss:  0.17, Accuracy:  94.53%, Time usage: 31m  7s .
Step  5400, Loss:  0.25, Accuracy:  89.84%, Time usage: 31m 45s .
Step  5500, Loss:  0.13, Accuracy:  95.31%, Time usage: 32m 21s .
Step  5600, Loss:  0.16, Accuracy:  94.53%, Time usage: 32m 56s .
Step  5700, Loss:  0.27, Accuracy:  91.41%, Time usage: 33m 34s .
Step  5800, Loss:  0.13, Accuracy:  93.75%, Time usage: 34m 10s .
