Step     0, Loss:  2.36, Accuracy:  13.28%, Time usage:  0m  2s .
Step   100, Loss:  0.62, Accuracy:  84.38%, Time usage:  0m  9s .
Step   200, Loss:  0.54, Accuracy:  87.50%, Time usage:  0m 15s .
Step   300, Loss:  0.44, Accuracy:  92.97%, Time usage:  0m 22s .
Step   400, Loss:  0.35, Accuracy:  89.84%, Time usage:  0m 29s .
Step   500, Loss:  0.31, Accuracy:  92.19%, Time usage:  0m 39s .
Step   600, Loss:  0.31, Accuracy:  90.62%, Time usage:  0m 46s .
Step   700, Loss:  0.26, Accuracy:  92.97%, Time usage:  0m 52s .
Step   800, Loss:  0.32, Accuracy:  85.94%, Time usage:  0m 59s .
Step   900, Loss:  0.26, Accuracy:  89.84%, Time usage:  1m  5s .
Step  1000, Loss:  0.25, Accuracy:  92.97%, Time usage:  1m 15s .
Step  1100, Loss:  0.31, Accuracy:  89.06%, Time usage:  1m 22s .
Step  1200, Loss:  0.33, Accuracy:  86.72%, Time usage:  1m 29s .
Step  1300, Loss:  0.35, Accuracy:  89.06%, Time usage:  1m 35s .
Step  1400, Loss:  0.36, Accuracy:  89.06%, Time usage:  1m 42s .
Step  1500, Loss:  0.31, Accuracy:  91.41%, Time usage:  1m 52s .
Step  1600, Loss:  0.45, Accuracy:  85.94%, Time usage:  1m 59s .
Step  1700, Loss:  0.26, Accuracy:  92.19%, Time usage:  2m  6s .
Step  1800, Loss:  0.26, Accuracy:  93.75%, Time usage:  2m 12s .
Step  1900, Loss:  0.32, Accuracy:  85.94%, Time usage:  2m 23s .
Step  2000, Loss:  0.24, Accuracy:  89.84%, Time usage:  2m 29s .
Step  2100, Loss:  0.27, Accuracy:  89.84%, Time usage:  2m 36s .
Step  2200, Loss:  0.24, Accuracy:  92.97%, Time usage:  2m 42s .
Step  2300, Loss:  0.30, Accuracy:  90.62%, Time usage:  2m 49s .
Step  2400, Loss:  0.31, Accuracy:  87.50%, Time usage:  2m 59s .
Step  2500, Loss:  0.18, Accuracy:  95.31%, Time usage:  3m  6s .
Step  2600, Loss:  0.13, Accuracy:  96.09%, Time usage:  3m 12s .
Step  2700, Loss:  0.18, Accuracy:  92.19%, Time usage:  3m 19s .
Step  2800, Loss:  0.18, Accuracy:  92.97%, Time usage:  3m 25s .
Step  2900, Loss:  0.23, Accuracy:  89.84%, Time usage:  3m 36s .
Step  3000, Loss:  0.16, Accuracy:  96.09%, Time usage:  3m 42s .
Step  3100, Loss:  0.23, Accuracy:  92.19%, Time usage:  3m 49s .
Step  3200, Loss:  0.30, Accuracy:  90.62%, Time usage:  3m 55s .
Step  3300, Loss:  0.20, Accuracy:  93.75%, Time usage:  4m  6s .
Step  3400, Loss:  0.22, Accuracy:  94.53%, Time usage:  4m 12s .
