Step     0, Loss:  2.44, Accuracy:   7.81%, Time usage:  0m  3s .
Step   100, Loss:  0.33, Accuracy:  96.88%, Time usage:  0m 15s .
Step   200, Loss:  0.29, Accuracy:  96.09%, Time usage:  0m 26s .
Step   300, Loss:  0.25, Accuracy:  96.88%, Time usage:  0m 36s .
Step   400, Loss:  0.11, Accuracy:  99.22%, Time usage:  0m 45s .
Step   500, Loss:  0.06, Accuracy:  99.22%, Time usage:  0m 58s .
Step   600, Loss:  0.12, Accuracy:  96.88%, Time usage:  1m  6s .
Step   700, Loss:  0.07, Accuracy:  97.66%, Time usage:  1m 14s .
Step   800, Loss:  0.13, Accuracy:  96.09%, Time usage:  1m 22s .
Step   900, Loss:  0.10, Accuracy:  97.66%, Time usage:  1m 30s .
Step  1000, Loss:  0.06, Accuracy:  98.44%, Time usage:  1m 41s .
Step  1100, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 50s .
Step  1200, Loss:  0.06, Accuracy:  99.22%, Time usage:  1m 57s .
Step  1300, Loss:  0.03, Accuracy: 100.00%, Time usage:  2m  5s .
Step  1400, Loss:  0.08, Accuracy:  98.44%, Time usage:  2m 13s .
Step  1500, Loss:  0.04, Accuracy:  99.22%, Time usage:  2m 23s .
Step  1600, Loss:  0.03, Accuracy: 100.00%, Time usage:  2m 31s .
Step  1700, Loss:  0.09, Accuracy:  97.66%, Time usage:  2m 39s .
Step  1800, Loss:  0.05, Accuracy:  98.44%, Time usage:  2m 48s .
Step  1900, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 59s .
Step  2000, Loss:  0.06, Accuracy:  97.66%, Time usage:  3m  7s .
Step  2100, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 14s .
Step  2200, Loss:  0.05, Accuracy:  99.22%, Time usage:  3m 21s .
Step  2300, Loss:  0.05, Accuracy:  97.66%, Time usage:  3m 30s .
Step  2400, Loss:  0.06, Accuracy:  98.44%, Time usage:  3m 41s .
Step  2500, Loss:  0.05, Accuracy:  99.22%, Time usage:  3m 49s .
Step  2600, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 56s .
Step  2700, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m  5s .
Step  2800, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 13s .
Step  2900, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 25s .
Step  3000, Loss:  0.04, Accuracy:  98.44%, Time usage:  4m 33s .
Step  3100, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 40s .
Step  3200, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m 47s .
Step  3300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 59s .
Step  3400, Loss:  0.06, Accuracy:  99.22%, Time usage:  5m  6s .
Step  3500, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m 14s .
Step  3600, Loss:  0.02, Accuracy: 100.00%, Time usage:  5m 21s .
Step  3700, Loss:  0.04, Accuracy:  98.44%, Time usage:  5m 30s .
Step  3800, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 43s .
Step  3900, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 50s .
Step  4000, Loss:  0.03, Accuracy:  99.22%, Time usage:  5m 58s .
Step  4100, Loss:  0.04, Accuracy:  99.22%, Time usage:  6m  8s .
Step  4200, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 16s .
Step  4300, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 27s .
Step  4400, Loss:  0.02, Accuracy:  99.22%, Time usage:  6m 36s .
Step  4500, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 43s .
Step  4600, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 50s .
Step  4700, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m  1s .
Step  4800, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  8s .
Step  4900, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 15s .
Step  5000, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 22s .
Step  5100, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m 29s .
Step  5200, Loss:  0.04, Accuracy:  99.22%, Time usage:  7m 40s .
Step  5300, Loss:  0.01, Accuracy:  99.22%, Time usage:  7m 48s .
Step  5400, Loss:  0.01, Accuracy:  99.22%, Time usage:  7m 56s .
Step  5500, Loss:  0.02, Accuracy:  99.22%, Time usage:  8m  3s .
Step  5600, Loss:  0.06, Accuracy:  97.66%, Time usage:  8m 11s .
Step  5700, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m 22s .
Step  5800, Loss:  0.03, Accuracy:  99.22%, Time usage:  8m 30s .
Step  5900, Loss:  0.02, Accuracy:  99.22%, Time usage:  8m 39s .
Step  6000, Loss:  0.08, Accuracy:  97.66%, Time usage:  8m 47s .
Step  6100, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m 59s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m  6s .
Step  6300, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 15s .
Step  6400, Loss:  0.05, Accuracy:  99.22%, Time usage:  9m 23s .
Step  6500, Loss:  0.04, Accuracy:  98.44%, Time usage:  9m 31s .
Step  6600, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 41s .
Step  6700, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 48s .
Step  6800, Loss:  0.07, Accuracy:  99.22%, Time usage:  9m 55s .
Step  6900, Loss:  0.01, Accuracy: 100.00%, Time usage: 10m  2s .
Step  7000, Loss:  0.02, Accuracy:  99.22%, Time usage: 10m 10s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 21s .
Step  7200, Loss:  0.01, Accuracy: 100.00%, Time usage: 10m 29s .
Step  7300, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 38s .
Step  7400, Loss:  0.05, Accuracy:  99.22%, Time usage: 10m 47s .
Step  7500, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 55s .
Step  7600, Loss:  0.04, Accuracy:  98.44%, Time usage: 11m  7s .
Step  7700, Loss:  0.02, Accuracy:  98.44%, Time usage: 11m 16s .
Step  7800, Loss:  0.03, Accuracy:  99.22%, Time usage: 11m 23s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 30s .
Step  8000, Loss:  0.02, Accuracy:  99.22%, Time usage: 11m 41s .
Step  8100, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 49s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 57s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m  5s .
