Epoch:     0 processes:    0 Step     0, Loss:  2.35, Accuracy:  10.16%, Time usage:  0m 11s .
Epoch:   100 processes:    0 Step   100, Loss:  0.05, Accuracy:  98.44%, Time usage:  0m 16s .
Epoch:   200 processes:    0 Step   200, Loss:  0.09, Accuracy:  97.66%, Time usage:  0m 20s .
Epoch:   300 processes:    0 Step   300, Loss:  0.06, Accuracy:  99.22%, Time usage:  0m 24s .
Epoch:   400 processes:    0 Step   400, Loss:  0.02, Accuracy:  99.22%, Time usage:  0m 29s .
Epoch:     0 processes:    1 Step     0, Loss:  1.05, Accuracy:  87.50%, Time usage:  0m 12s .
Epoch:   100 processes:    1 Step   100, Loss:  0.09, Accuracy:  98.44%, Time usage:  0m 16s .
Epoch:   200 processes:    1 Step   200, Loss:  0.12, Accuracy:  95.31%, Time usage:  0m 21s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 25s .
Epoch:   400 processes:    1 Step   400, Loss:  0.04, Accuracy:  98.44%, Time usage:  0m 29s .
Epoch:     0 processes:    0 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 40s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 45s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 49s .
Epoch:   300 processes:    0 Step   300, Loss:  0.02, Accuracy: 100.00%, Time usage:  0m 54s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 58s .
Epoch:     0 processes:    1 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 41s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 45s .
Epoch:   200 processes:    1 Step   200, Loss:  0.06, Accuracy:  98.44%, Time usage:  0m 50s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage:  0m 54s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 59s .
Epoch:     0 processes:    0 Step     0, Loss:  0.02, Accuracy:  98.44%, Time usage:  1m  8s .
Epoch:   100 processes:    0 Step   100, Loss:  0.05, Accuracy:  99.22%, Time usage:  1m 13s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 17s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 21s .
Epoch:   400 processes:    0 Step   400, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 26s .
Epoch:     0 processes:    1 Step     0, Loss:  0.04, Accuracy:  98.44%, Time usage:  1m  9s .
Epoch:   100 processes:    1 Step   100, Loss:  0.04, Accuracy:  98.44%, Time usage:  1m 14s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 18s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 22s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 26s .
Epoch:     0 processes:    0 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 37s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 42s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 47s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 52s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 57s .
Epoch:     0 processes:    1 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 38s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 43s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 48s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 53s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 57s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  7s .
Epoch:   100 processes:    0 Step   100, Loss:  0.03, Accuracy:  99.22%, Time usage:  2m 12s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 16s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 21s .
Epoch:   400 processes:    0 Step   400, Loss:  0.03, Accuracy:  99.22%, Time usage:  2m 25s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  8s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 12s .
Epoch:   200 processes:    1 Step   200, Loss:  0.02, Accuracy:  98.44%, Time usage:  2m 17s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 21s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 25s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 35s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 40s .
Epoch:   200 processes:    0 Step   200, Loss:  0.05, Accuracy:  98.44%, Time usage:  2m 45s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 51s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 56s .
Epoch:     0 processes:    1 Step     0, Loss:  0.03, Accuracy:  98.44%, Time usage:  2m 36s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 41s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 46s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 51s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 57s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  8s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 13s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 18s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 22s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 26s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  9s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 13s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 18s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 22s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 27s .
Epoch:     0 processes:    0 Step     0, Loss:  0.03, Accuracy:  98.44%, Time usage:  3m 37s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 41s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 45s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 50s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 54s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 37s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 42s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 46s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 50s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 54s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  4s .
