Epoch:     0 processes:    0 Step     0, Loss:  2.54, Accuracy:   9.38%, Time usage:  0m 12s .
Epoch:   100 processes:    0 Step   100, Loss:  0.14, Accuracy:  98.44%, Time usage:  0m 29s .
Epoch:   200 processes:    0 Step   200, Loss:  0.11, Accuracy:  96.09%, Time usage:  0m 41s .
Epoch:   300 processes:    0 Step   300, Loss:  0.05, Accuracy:  98.44%, Time usage:  0m 54s .
Epoch:   400 processes:    0 Step   400, Loss:  0.04, Accuracy: 100.00%, Time usage:  1m  6s .
Epoch:     0 processes:    1 Step     0, Loss:  1.43, Accuracy:  71.09%, Time usage:  0m 17s .
Epoch:   100 processes:    1 Step   100, Loss:  0.11, Accuracy:  99.22%, Time usage:  0m 30s .
Epoch:   200 processes:    1 Step   200, Loss:  0.04, Accuracy:  99.22%, Time usage:  0m 43s .
Epoch:   300 processes:    1 Step   300, Loss:  0.07, Accuracy:  99.22%, Time usage:  0m 56s .
Epoch:   400 processes:    1 Step   400, Loss:  0.04, Accuracy:  99.22%, Time usage:  1m  8s .
Epoch:     0 processes:    0 Step     0, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 23s .
Epoch:   100 processes:    0 Step   100, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 36s .
Epoch:   200 processes:    0 Step   200, Loss:  0.04, Accuracy:  99.22%, Time usage:  1m 49s .
Epoch:   300 processes:    0 Step   300, Loss:  0.05, Accuracy:  97.66%, Time usage:  2m  2s .
Epoch:   400 processes:    0 Step   400, Loss:  0.05, Accuracy:  97.66%, Time usage:  2m 17s .
Epoch:     0 processes:    1 Step     0, Loss:  0.06, Accuracy:  98.44%, Time usage:  1m 27s .
Epoch:   100 processes:    1 Step   100, Loss:  0.08, Accuracy:  97.66%, Time usage:  1m 40s .
Epoch:   200 processes:    1 Step   200, Loss:  0.07, Accuracy:  97.66%, Time usage:  1m 53s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  98.44%, Time usage:  2m  6s .
Epoch:   400 processes:    1 Step   400, Loss:  0.04, Accuracy:  98.44%, Time usage:  2m 21s .
Epoch:     0 processes:    0 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 35s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 48s .
Epoch:   200 processes:    0 Step   200, Loss:  0.02, Accuracy: 100.00%, Time usage:  3m  1s .
Epoch:   300 processes:    0 Step   300, Loss:  0.02, Accuracy: 100.00%, Time usage:  3m 13s .
Epoch:   400 processes:    0 Step   400, Loss:  0.05, Accuracy:  98.44%, Time usage:  3m 28s .
Epoch:     0 processes:    1 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 39s .
Epoch:   100 processes:    1 Step   100, Loss:  0.03, Accuracy:  99.22%, Time usage:  2m 52s .
Epoch:   200 processes:    1 Step   200, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m  4s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 17s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 33s .
Epoch:     0 processes:    0 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 46s .
Epoch:   100 processes:    0 Step   100, Loss:  0.05, Accuracy:  98.44%, Time usage:  3m 58s .
Epoch:   200 processes:    0 Step   200, Loss:  0.05, Accuracy:  99.22%, Time usage:  4m 11s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 24s .
Epoch:   400 processes:    0 Step   400, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 38s .
Epoch:     0 processes:    1 Step     0, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 50s .
Epoch:   100 processes:    1 Step   100, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m  3s .
Epoch:   200 processes:    1 Step   200, Loss:  0.07, Accuracy:  98.44%, Time usage:  4m 15s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 29s .
Epoch:   400 processes:    1 Step   400, Loss:  0.10, Accuracy:  97.66%, Time usage:  4m 42s .
Epoch:     0 processes:    0 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 56s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 11s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 27s .
Epoch:   300 processes:    0 Step   300, Loss:  0.02, Accuracy: 100.00%, Time usage:  5m 41s .
Epoch:   400 processes:    0 Step   400, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m 56s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  1s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 16s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 32s .
Epoch:   300 processes:    1 Step   300, Loss:  0.06, Accuracy:  99.22%, Time usage:  5m 46s .
Epoch:   400 processes:    1 Step   400, Loss:  0.03, Accuracy:  99.22%, Time usage:  6m  1s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 15s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 36s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 52s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  8s .
Epoch:   400 processes:    0 Step   400, Loss:  0.05, Accuracy:  98.44%, Time usage:  7m 25s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 20s .
Epoch:   100 processes:    1 Step   100, Loss:  0.08, Accuracy:  99.22%, Time usage:  6m 38s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 54s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage:  7m 11s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 27s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 45s .
Epoch:   100 processes:    0 Step   100, Loss:  0.02, Accuracy:  98.44%, Time usage:  8m  3s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  8m 21s .
