Step     0, Loss:  2.43, Accuracy:   8.59%, Time usage:  0m  3s .
Step   100, Loss:  0.35, Accuracy:  96.09%, Time usage:  0m  5s .
Step   200, Loss:  0.23, Accuracy:  98.44%, Time usage:  0m  6s .
Step   300, Loss:  0.21, Accuracy:  98.44%, Time usage:  0m  7s .
Step   400, Loss:  0.11, Accuracy:  98.44%, Time usage:  0m  8s .
Step   500, Loss:  0.12, Accuracy:  96.88%, Time usage:  0m 14s .
Step   600, Loss:  0.07, Accuracy:  99.22%, Time usage:  0m 15s .
Step   700, Loss:  0.05, Accuracy:  99.22%, Time usage:  0m 16s .
Step   800, Loss:  0.13, Accuracy:  96.88%, Time usage:  0m 17s .
Step   900, Loss:  0.08, Accuracy:  96.88%, Time usage:  0m 18s .
Step  1000, Loss:  0.04, Accuracy:  99.22%, Time usage:  0m 24s .
Step  1100, Loss:  0.06, Accuracy:  98.44%, Time usage:  0m 25s .
Step  1200, Loss:  0.06, Accuracy:  98.44%, Time usage:  0m 27s .
Step  1300, Loss:  0.08, Accuracy:  97.66%, Time usage:  0m 28s .
Step  1400, Loss:  0.04, Accuracy:  99.22%, Time usage:  0m 29s .
Step  1500, Loss:  0.10, Accuracy:  97.66%, Time usage:  0m 35s .
Step  1600, Loss:  0.07, Accuracy:  97.66%, Time usage:  0m 36s .
Step  1700, Loss:  0.10, Accuracy:  97.66%, Time usage:  0m 38s .
Step  1800, Loss:  0.03, Accuracy:  99.22%, Time usage:  0m 39s .
Step  1900, Loss:  0.08, Accuracy:  98.44%, Time usage:  0m 44s .
Step  2000, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 46s .
Step  2100, Loss:  0.03, Accuracy:  99.22%, Time usage:  0m 47s .
Step  2200, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 48s .
Step  2300, Loss:  0.06, Accuracy:  99.22%, Time usage:  0m 49s .
Step  2400, Loss:  0.11, Accuracy:  97.66%, Time usage:  0m 55s .
