Step     0, Loss:  6.91, Accuracy:   0.78%, Time usage:  0m  3s .
Step   100, Loss:  0.30, Accuracy:  89.84%, Time usage:  0m  9s .
Step   200, Loss:  0.22, Accuracy:  93.75%, Time usage:  0m 14s .
Step   300, Loss:  0.26, Accuracy:  89.84%, Time usage:  0m 20s .
Step   400, Loss:  0.26, Accuracy:  92.97%, Time usage:  0m 25s .
Step   500, Loss:  0.10, Accuracy:  96.88%, Time usage:  0m 34s .
Step   600, Loss:  0.10, Accuracy:  97.66%, Time usage:  0m 40s .
Step   700, Loss:  0.06, Accuracy:  97.66%, Time usage:  0m 46s .
Step   800, Loss:  0.13, Accuracy:  96.88%, Time usage:  0m 51s .
Step   900, Loss:  0.03, Accuracy: 100.00%, Time usage:  0m 57s .
Step  1000, Loss:  0.13, Accuracy:  96.09%, Time usage:  1m  6s .
Step  1100, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 11s .
Step  1200, Loss:  0.20, Accuracy:  94.53%, Time usage:  1m 17s .
Step  1300, Loss:  0.06, Accuracy:  97.66%, Time usage:  1m 23s .
Step  1400, Loss:  0.03, Accuracy:  98.44%, Time usage:  1m 28s .
Step  1500, Loss:  0.03, Accuracy:  97.66%, Time usage:  1m 37s .
Step  1600, Loss:  0.18, Accuracy:  96.09%, Time usage:  1m 43s .
Step  1700, Loss:  0.17, Accuracy:  96.09%, Time usage:  1m 48s .
Step  1800, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 54s .
Step  1900, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m  3s .
Step  2000, Loss:  0.03, Accuracy:  98.44%, Time usage:  2m  8s .
Step  2100, Loss:  0.09, Accuracy:  96.88%, Time usage:  2m 13s .
Step  2200, Loss:  0.08, Accuracy:  97.66%, Time usage:  2m 19s .
Step  2300, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 24s .
Step  2400, Loss:  0.11, Accuracy:  96.09%, Time usage:  2m 33s .
Step  2500, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 39s .
Step  2600, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 44s .
Step  2700, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 50s .
Step  2800, Loss:  0.13, Accuracy:  96.09%, Time usage:  2m 55s .
Step  2900, Loss:  0.06, Accuracy:  99.22%, Time usage:  3m  4s .
Step  3000, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 10s .
Step  3100, Loss:  0.05, Accuracy:  97.66%, Time usage:  3m 16s .
Step  3200, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 21s .
Step  3300, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 30s .
Step  3400, Loss:  0.07, Accuracy:  99.22%, Time usage:  3m 36s .
Step  3500, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 42s .
Step  3600, Loss:  0.04, Accuracy:  99.22%, Time usage:  3m 47s .
Step  3700, Loss:  0.08, Accuracy:  98.44%, Time usage:  3m 53s .
Step  3800, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  2s .
Step  3900, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m  7s .
Step  4000, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 12s .
Step  4100, Loss:  0.10, Accuracy:  98.44%, Time usage:  4m 18s .
Step  4200, Loss:  0.05, Accuracy:  98.44%, Time usage:  4m 23s .
Step  4300, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m 32s .
Step  4400, Loss:  0.05, Accuracy:  98.44%, Time usage:  4m 38s .
Step  4500, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 44s .
Step  4600, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 49s .
Step  4700, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 58s .
Step  4800, Loss:  0.03, Accuracy:  98.44%, Time usage:  5m  3s .
Step  4900, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m  9s .
Step  5000, Loss:  0.08, Accuracy:  98.44%, Time usage:  5m 15s .
Step  5100, Loss:  0.03, Accuracy:  98.44%, Time usage:  5m 20s .
Step  5200, Loss:  0.06, Accuracy:  99.22%, Time usage:  5m 29s .
Step  5300, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m 35s .
Step  5400, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 40s .
Step  5500, Loss:  0.06, Accuracy:  98.44%, Time usage:  5m 46s .
Step  5600, Loss:  0.06, Accuracy:  98.44%, Time usage:  5m 51s .
Step  5700, Loss:  0.04, Accuracy:  98.44%, Time usage:  6m  0s .
Step  5800, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m  5s .
Step  5900, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 11s .
Step  6000, Loss:  0.03, Accuracy:  99.22%, Time usage:  6m 16s .
Step  6100, Loss:  0.03, Accuracy:  99.22%, Time usage:  6m 25s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 30s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 36s .
Step  6400, Loss:  0.07, Accuracy:  97.66%, Time usage:  6m 41s .
Step  6500, Loss:  0.06, Accuracy:  98.44%, Time usage:  6m 47s .
Step  6600, Loss:  0.02, Accuracy:  99.22%, Time usage:  6m 55s .
Step  6700, Loss:  0.01, Accuracy:  99.22%, Time usage:  7m  1s .
Step  6800, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m  6s .
Step  6900, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m 12s .
Step  7000, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 17s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 27s .
Step  7200, Loss:  0.08, Accuracy:  98.44%, Time usage:  7m 32s .
Step  7300, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m 38s .
Step  7400, Loss:  0.01, Accuracy: 100.00%, Time usage:  7m 43s .
Step  7500, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 49s .
Step  7600, Loss:  0.02, Accuracy:  99.22%, Time usage:  7m 58s .
Step  7700, Loss:  0.04, Accuracy:  99.22%, Time usage:  8m  4s .
Step  7800, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m  9s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage:  8m 15s .
Step  8000, Loss:  0.04, Accuracy:  98.44%, Time usage:  8m 24s .
Step  8100, Loss:  0.09, Accuracy:  96.88%, Time usage:  8m 29s .
Step  8200, Loss:  0.08, Accuracy:  97.66%, Time usage:  8m 34s .
Step  8300, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m 40s .
Step  8400, Loss:  0.06, Accuracy:  97.66%, Time usage:  8m 45s .
Step  8500, Loss:  0.00, Accuracy: 100.00%, Time usage:  8m 54s .
Step  8600, Loss:  0.04, Accuracy:  99.22%, Time usage:  8m 59s .
Step  8700, Loss:  0.01, Accuracy:  99.22%, Time usage:  9m  5s .
Step  8800, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 10s .
Step  8900, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 16s .
Step  9000, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 25s .
Step  9100, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 30s .
Step  9200, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 36s .
Step  9300, Loss:  0.02, Accuracy: 100.00%, Time usage:  9m 41s .
Step  9400, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 51s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 56s .
Step  9600, Loss:  0.03, Accuracy:  99.22%, Time usage: 10m  2s .
Step  9700, Loss:  0.05, Accuracy:  97.66%, Time usage: 10m  8s .
Step  9800, Loss:  0.01, Accuracy: 100.00%, Time usage: 10m 13s .
Step  9900, Loss:  0.01, Accuracy:  99.22%, Time usage: 10m 22s .
Step 10000, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 28s .
Step 10100, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 34s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 39s .
Step 10300, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 45s .
Step 10400, Loss:  0.01, Accuracy:  99.22%, Time usage: 10m 53s .
Step 10500, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 59s .
Step 10600, Loss:  0.02, Accuracy:  99.22%, Time usage: 11m  4s .
Step 10700, Loss:  0.04, Accuracy:  97.66%, Time usage: 11m  9s .
Step 10800, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 18s .
Step 10900, Loss:  0.01, Accuracy: 100.00%, Time usage: 11m 23s .
Step 11000, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 29s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 34s .
Step 11200, Loss:  0.08, Accuracy:  98.44%, Time usage: 11m 40s .
Step 11300, Loss:  0.01, Accuracy:  99.22%, Time usage: 11m 49s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 54s .
Step 11500, Loss:  0.05, Accuracy:  98.44%, Time usage: 12m  0s .
Step 11600, Loss:  0.02, Accuracy:  99.22%, Time usage: 12m  5s .
Step 11700, Loss:  0.05, Accuracy:  99.22%, Time usage: 12m 11s .
Step 11800, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 19s .
Step 11900, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 25s .
Step 12000, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 30s .
Step 12100, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 36s .
Step 12200, Loss:  0.02, Accuracy:  99.22%, Time usage: 12m 45s .
Step 12300, Loss:  0.04, Accuracy:  99.22%, Time usage: 12m 51s .
Step 12400, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 56s .
Step 12500, Loss:  0.01, Accuracy: 100.00%, Time usage: 13m  1s .
Step 12600, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m  7s .
Step 12700, Loss:  0.02, Accuracy:  99.22%, Time usage: 13m 16s .
Step 12800, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 21s .
Step 12900, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 27s .
Step 13000, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 32s .
Step 13100, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 38s .
Step 13200, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 47s .
Step 13300, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 52s .
Step 13400, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 58s .
Step 13500, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m  3s .
Step 13600, Loss:  0.05, Accuracy:  74.22%, Time usage: 14m  8s .
Step 13700, Loss:  0.08, Accuracy:  99.22%, Time usage: 14m 17s .
Step 13800, Loss:  0.01, Accuracy:  99.22%, Time usage: 14m 22s .
Step 13900, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 28s .
Step 14000, Loss:  0.01, Accuracy: 100.00%, Time usage: 14m 33s .
 Time usage of train: 14m 33s .
Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m  2s .
Test Loss:  0.04, Accuracy: 99.03%
test correctL:9903, len of test:10000
Time Usage:  0.08 mins.
The accuracy of plane: 0.9948979591836735
The accuracy of car: 0.9920704845814978
The accuracy of bird: 0.9951550387596899
The accuracy of cat: 0.9871287128712871
The accuracy of deer: 0.994908350305499
The accuracy of dog: 0.9899103139013453
The accuracy of frog: 0.9864300626304802
The accuracy of horse: 0.9873540856031129
The accuracy of ship: 0.9876796714579056
