Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  2s .
Step   100, Loss:  0.34, Accuracy:  91.41%, Time usage:  0m  8s .
Step   200, Loss:  0.26, Accuracy:  89.84%, Time usage:  0m 14s .
Step   300, Loss:  0.29, Accuracy:  92.19%, Time usage:  0m 19s .
Step   400, Loss:  0.24, Accuracy:  92.97%, Time usage:  0m 25s .
Step   500, Loss:  0.14, Accuracy:  95.31%, Time usage:  0m 33s .
Step   600, Loss:  0.15, Accuracy:  96.09%, Time usage:  0m 39s .
Step   700, Loss:  0.17, Accuracy:  93.75%, Time usage:  0m 45s .
Step   800, Loss:  0.17, Accuracy:  96.09%, Time usage:  0m 50s .
Step   900, Loss:  0.11, Accuracy:  96.88%, Time usage:  0m 56s .
Step  1000, Loss:  0.07, Accuracy:  97.66%, Time usage:  1m  5s .
Step  1100, Loss:  0.11, Accuracy:  96.88%, Time usage:  1m 10s .
Step  1200, Loss:  0.06, Accuracy:  98.44%, Time usage:  1m 16s .
Step  1300, Loss:  0.04, Accuracy:  97.66%, Time usage:  1m 21s .
Step  1400, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 27s .
Step  1500, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 36s .
Step  1600, Loss:  0.05, Accuracy:  98.44%, Time usage:  1m 41s .
Step  1700, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 47s .
Step  1800, Loss:  0.06, Accuracy:  97.66%, Time usage:  1m 52s .
Step  1900, Loss:  0.05, Accuracy:  99.22%, Time usage:  2m  1s .
Step  2000, Loss:  0.14, Accuracy:  95.31%, Time usage:  2m  6s .
Step  2100, Loss:  0.06, Accuracy:  98.44%, Time usage:  2m 12s .
Step  2200, Loss:  0.08, Accuracy:  96.09%, Time usage:  2m 17s .
Step  2300, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 23s .
Step  2400, Loss:  0.04, Accuracy:  98.44%, Time usage:  2m 32s .
Step  2500, Loss:  0.04, Accuracy:  97.66%, Time usage:  2m 37s .
Step  2600, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 43s .
Step  2700, Loss:  0.04, Accuracy:  98.44%, Time usage:  2m 48s .
Step  2800, Loss:  0.08, Accuracy:  97.66%, Time usage:  2m 54s .
Step  2900, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m  3s .
Step  3000, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  8s .
Step  3100, Loss:  0.03, Accuracy:  98.44%, Time usage:  3m 14s .
Step  3200, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 19s .
Step  3300, Loss:  0.06, Accuracy:  99.22%, Time usage:  3m 28s .
Step  3400, Loss:  0.02, Accuracy:  98.44%, Time usage:  3m 34s .
Step  3500, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 39s .
Step  3600, Loss:  0.14, Accuracy:  96.09%, Time usage:  3m 45s .
Step  3700, Loss:  0.06, Accuracy:  98.44%, Time usage:  3m 51s .
Step  3800, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 59s .
Step  3900, Loss:  0.06, Accuracy:  98.44%, Time usage:  4m  5s .
Step  4000, Loss:  0.13, Accuracy:  96.88%, Time usage:  4m 10s .
Step  4100, Loss:  0.06, Accuracy:  97.66%, Time usage:  4m 16s .
Step  4200, Loss:  0.08, Accuracy:  97.66%, Time usage:  4m 21s .
Step  4300, Loss:  0.01, Accuracy:  99.22%, Time usage:  4m 30s .
Step  4400, Loss:  0.06, Accuracy:  98.44%, Time usage:  4m 36s .
Step  4500, Loss:  0.08, Accuracy:  97.66%, Time usage:  4m 41s .
Step  4600, Loss:  0.03, Accuracy:  97.66%, Time usage:  4m 47s .
Step  4700, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 55s .
Step  4800, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m  1s .
Step  4900, Loss:  0.03, Accuracy:  98.44%, Time usage:  5m  6s .
Step  5000, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 12s .
Step  5100, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 18s .
Step  5200, Loss:  0.03, Accuracy:  98.44%, Time usage:  5m 26s .
Step  5300, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 32s .
Step  5400, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 37s .
Step  5500, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m 43s .
Step  5600, Loss:  0.01, Accuracy: 100.00%, Time usage:  5m 49s .
Step  5700, Loss:  0.02, Accuracy:  99.22%, Time usage:  5m 58s .
Step  5800, Loss:  0.02, Accuracy:  99.22%, Time usage:  6m  4s .
Step  5900, Loss:  0.02, Accuracy:  99.22%, Time usage:  6m 10s .
Step  6000, Loss:  0.01, Accuracy: 100.00%, Time usage:  6m 16s .
